Pkey,AreaID,UploadTime,SystemTime,Class,LastEndTime,StartTime,EndTime,Partnum,Lotnum,Layer,ProcName,EQID,MachineNo,IType,Inputpcs,Outputpcs,WID,User,OP,Remark,NCN,Version,Flag,Count,CreateTime,Enable
729,3,2024-02-20 09:51:08.000,2024-01-12 01:55:59.433,N,2024-01-11 22:47:00.000,2024-01-12 01:56:17.593,2024-01-13 22:29:35.880,2231551A02,241B3007-05-00,-L5L6,MDL2MDL1,H3 HITACHI 鑽孔機 200K #26,MDLMDL1223,C_量產,48,48,77743,"孟妮葵              ",53825,NULL,NULL,2.0.24.02.07.1,1,0,NULL,1
730,3,2024-02-20 10:01:24.000,2024-01-12 02:04:27.560,N,2024-01-12 00:56:00.000,2024-01-12 02:05:02.060,2024-01-12 21:04:49.593,2613153A04,241B3013-01-00,-L6L7,MDL2MDL1,H3 HITACHI 鑽孔機 200K #18,MDLMDL1143,QC_急單量產,18,18,77743,"孟妮葵              ",53825,NULL,NULL,2.0.24.02.07.1,1,0,NULL,1
731,3,2024-02-20 09:43:37.000,2024-01-12 14:46:03.920,D,2024-01-12 00:28:00.000,2024-01-12 14:46:32.637,2024-01-14 21:22:56.743,2231498F04,241B3006-01-00,-L5L6,MDL2MDL1,H3 HITACHI 鑽孔機 330K #52,MDLMDL2203,C_量產,48,48,77743,"孟妮葵              ",53825,NULL,NULL,2.0.24.02.07.1,1,0,NULL,1
732,3,2024-02-20 09:45:57.000,2024-01-12 15:35:39.023,D,2024-01-12 03:48:00.000,2024-01-12 15:38:29.570,2024-01-14 00:57:24.743,2231506C08,241B3014-03-00,-L5L6,MDL2MDL1,H3 HITACHI 鑽孔機 200K #18,MDLMDL1143,C_量產,48,48,77743,"孟妮葵              ",53825,NULL,NULL,2.0.24.02.07.1,1,0,NULL,1
733,3,2024-02-20 09:48:40.000,2024-01-12 04:13:17.690,N,2024-01-11 02:32:00.000,2024-01-12 05:16:04.693,2024-01-13 04:00:46.180,2231541A02,241A3002-04-00,-L4L5,MDL2MDL1,H3 HITACHI 鑽孔機 330K #51,MDLMDL2193,C_量產,48,48,77743,"孟妮葵              ",53825,NULL,NULL,2.0.24.02.07.1,1,0,NULL,1
734,3,2024-02-20 09:48:40.000,2024-01-12 04:48:52.713,N,2024-01-11 02:32:00.000,2024-01-12 06:24:04.547,2024-01-13 18:10:37.713,2231541A02,241A3002-05-00,-L4L5,MDL2MDL1,H3 HITACHI 鑽孔機 330K #33,MDLMDL2063,C_量產,48,48,77743,"孟妮葵              ",53825,NULL,NULL,2.0.24.02.07.1,1,0,NULL,1
735,3,2024-02-20 09:43:37.000,2024-01-12 17:46:49.350,D,2024-01-12 01:52:00.000,2024-01-12 17:47:13.177,2024-01-14 22:21:05.767,2231498F04,241B3006-02-00,-L5L6,MDL2MDL1,H3 HITACHI 鑽孔機 330K #54,MDLMDL2223,C_量產,48,48,77743,"孟妮葵              ",53825,NULL,NULL,2.0.24.02.07.1,1,0,NULL,1
736,3,2024-02-20 09:58:17.000,2024-01-12 19:05:50.703,D,2024-01-12 03:48:00.000,2024-01-12 19:06:10.097,2024-01-15 01:47:20.637,3848029B02,241B3009-01-00,-L10L11,MDL2MDL1,H3 HITACHI 鑽孔機 200K #07,MDLMDL1073,C_量產,48,48,77743,"孟妮葵              ",53825,NULL,NULL,2.0.24.02.07.1,1,0,NULL,1
737,3,2024-02-20 09:52:59.000,2024-01-12 07:08:23.333,N,2024-01-12 01:52:00.000,2024-01-12 07:08:34.943,2024-01-14 00:57:39.143,2231580A01,241B3004-01-00,-L4L5,MDL2MDL1,H3 HITACHI 鑽孔機 200K #56,MDLMDL1293,QS_急料樣品,3,3,77743,"孟妮葵              ",53825,NULL,NULL,2.0.24.02.07.1,1,0,NULL,1
738,3,2024-02-20 09:43:37.000,2024-01-12 19:08:12.110,D,2024-01-12 02:13:00.000,2024-01-12 19:08:24.830,2024-01-14 22:21:26.733,2231498F04,241B3006-03-00,-L5L6,MDL2MDL1,H3 HITACHI 鑽孔機 330K #55,MDLMDL2233,C_量產,48,48,77743,"孟妮葵              ",53825,NULL,NULL,2.0.24.02.07.1,1,0,NULL,1
